ZONE_NAME,CITY_NAME,DINNEROO_PARTNER_COUNT,DINNEROO_CUISINE_COUNT,TOTAL_DINNEROO_ORDERS,CUISINES_AVAILABLE,order_count,avg_rating,rating_count,unique_dishes,score_cuisine,score_partners,score_dishes,score_performance,score_quality,composite_score,rank
Aldershot,Camberley,1,1,34,italian,55,4.0,7.0,61,1,1,6,4,6,37.5,136
Ruislip,London,1,1,40,italian,56,4.0,6.0,52,1,1,6,4,6,37.5,137
Godalming,London,2,1,42,italian,64,4.25,4.0,58,1,1,6,4,6,37.5,138
Hemel Hempstead,London,2,1,29,italian,41,4.0,7.0,67,1,1,6,4,6,37.5,139
Ilford,London,1,1,39,indian,67,4.166666666666667,12.0,61,1,1,6,4,6,37.5,140
Ronanstown,Dublin,2,2,41,"italian, japanese",69,3.5454545454545454,11.0,65,2,1,6,4,4,36.5,141
Glasgow West End,Glasgow,1,1,45,Asian,108,4.5625,16.0,27,1,1,3,4,10,36.0,142
High Wycombe,London,1,1,49,thai,78,3.7142857142857144,7.0,53,1,1,6,4,4,34.5,143
South Woodford,London,1,1,48,italian,69,3.5384615384615383,13.0,53,1,1,6,4,4,34.5,144
Headingley,Leeds,1,1,28,italian,40,3.6666666666666665,3.0,65,1,1,6,4,4,34.5,145
Renfrew,Glasgow,2,1,34,italian,46,3.6666666666666665,3.0,66,1,1,6,4,4,34.5,146
Bermondsey,London,2,2,33,"Asian, italian",52,3.0,6.0,60,2,1,6,4,2,33.5,147
Dudley,Birmingham,2,2,3,"Asian, italian",28,4.75,4.0,32,2,1,4,1,10,33.0,148
Sevenoaks,Royal Tunbridge Wells,2,2,2,"japanese, sushi",26,4.2,5.0,52,2,1,6,1,6,32.0,149
Bexleyheath,London,2,2,28,"Asian, italian",48,3.857142857142857,7.0,45,2,1,4,4,4,31.5,150
Galway,Galway,3,3,21,"Asian Fusion, chinese, italian",30,3.3333333333333335,3.0,55,4,2,6,1,2,31.5,151
Stanmore,London,1,1,19,italian,22,5.0,3.0,36,1,1,4,1,10,31.0,152
Oakwood and Chapeltown,Leeds,1,1,19,italian,23,4.75,4.0,35,1,1,4,1,10,31.0,153
Southall,London,1,1,17,indian,28,5.0,2.0,31,1,1,4,1,10,31.0,154
