dish_clean,total_orders,kid_total,kid_friendly_measured,adult_total,adult_appeal_measured,portion_total,portion_flexibility_measured,value_at_25_measured,balanced_measured
"chicken teriyaki, spicy chicken teriyaki, veg gyoza noodle soup, chili chicken gyoza noodle soup",1,1.0,1.0,1.0,1.0,1.0,5.0,,
"chicken thai green curry, chicken pad thai, salt & pepper squid",1,,,1.0,5.0,1.0,5.0,,
"chicken thigh bowl, fried rice, noodles",1,,,1.0,5.0,1.0,5.0,,5.0
chicken with caesar salad,1,,,1.0,5.0,1.0,5.0,5.0,5.0
"chicken, chip",1,,,1.0,5.0,1.0,5.0,,
"chicken, salad, potatoes",1,,,1.0,5.0,1.0,1.0,5.0,5.0
chickena and rice bowls,1,,,1.0,5.0,1.0,5.0,5.0,5.0
chiken biryani,1,,,1.0,5.0,1.0,1.0,5.0,
chiken ruby and naan bread and mango lassi,1,,,1.0,5.0,1.0,5.0,5.0,
children's pho x 2 and noodle dish and rice dish,1,,,1.0,1.0,1.0,5.0,5.0,
chilli and fajitas,2,1.0,5.0,2.0,5.0,2.0,5.0,2.0,2.0
"chilli basil chicken, pad thai, sticky chicken",1,,,1.0,5.0,1.0,5.0,5.0,
chilli chicken and rice,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
classic bowl range,1,,,1.0,5.0,1.0,5.0,5.0,
"classic chicken curry, classic beef brisket curry, wok-fried noodles with chicken, and mini chicken noodle soup",1,,,1.0,5.0,1.0,5.0,5.0,
classic tofu curry,1,,,1.0,5.0,1.0,5.0,,
coconut and lemongrass chicken curry. duck and mushrooms bao.,1,,,1.0,1.0,1.0,5.0,5.0,5.0
coconut chicken curry,1,1.0,1.0,1.0,1.0,1.0,1.0,5.0,
coconut chicken curry. plus additional kids chicken soba & kids chicken ramen. plus sides.,1,1.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0
coconut curry,2,,,2.0,2.0,2.0,2.0,2.0,2.0
coconut milk chicken curry,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
"cocotte - chicken/potatoes/caesar pe - lasagne, pasta pollo and mozerella garlic bread",1,,,1.0,5.0,1.0,5.0,5.0,
cottage pie,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
cottage pie and chicken,1,,,1.0,5.0,1.0,5.0,5.0,5.0
crispy chicken,1,1.0,5.0,1.0,5.0,1.0,5.0,,
crispy chicken dinner,1,1.0,1.0,1.0,5.0,1.0,1.0,,
"crispy chicken wings, pho the whole fam",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
curries and noodles,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
"curries, rice with eggs",1,1.0,5.0,1.0,5.0,1.0,5.0,,
curry,21,12.0,4.0,21.0,4.0,21.0,4.0,2.0,1.0
curry & rice deal,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
curry and kids noodles,2,2.0,5.0,2.0,5.0,2.0,5.0,2.0,
curry and pho,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
curry and stir fry,2,2.0,5.0,2.0,5.0,2.0,5.0,5.0,2.0
curry dishes (don't remember exactly),1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
curry family offer and extras on the side,1,,,1.0,5.0,1.0,5.0,,
curry katsu,1,1.0,5.0,1.0,5.0,1.0,5.0,,
curry katsu rice and fried veg,1,,,1.0,5.0,1.0,1.0,5.0,
curry night,2,,,2.0,5.0,2.0,5.0,2.0,
"curry night deal - beef brisket curry, chicken curry, wok stir-fried noodles, prawn crackers",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
curry's rice and noodles,1,1.0,1.0,1.0,5.0,1.0,1.0,5.0,
"curry,  rice and noodles",1,1.0,1.0,1.0,5.0,1.0,5.0,5.0,
"curry, breads, daal, pau bhaju and rice",1,,,1.0,5.0,1.0,5.0,5.0,
"curry, dhal, rice",1,1.0,1.0,1.0,5.0,1.0,1.0,5.0,
"curry, noodles, pho",1,1.0,1.0,1.0,5.0,1.0,5.0,,
"curry, pad thai",1,,,1.0,5.0,1.0,5.0,5.0,
"curry, rice, ramen",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
"curry, sticky chicken and noodles",1,,,1.0,5.0,1.0,5.0,,
daal & biryani,1,,,1.0,5.0,1.0,5.0,,
"daal x2, biriani",1,,,1.0,5.0,1.0,5.0,5.0,
"daal, biryani, samosas",1,,,1.0,5.0,1.0,5.0,5.0,
"daal, chicken ruby",1,,,1.0,5.0,1.0,1.0,,
dal and paneer,1,,,1.0,5.0,1.0,5.0,5.0,
delhi chicken,1,1.0,5.0,1.0,5.0,1.0,1.0,5.0,
dinner meal with chicken,1,,,1.0,1.0,1.0,1.0,5.0,
dishoom chicken ruby – for the family,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
dishoom matter paneer-for the family,1,,,1.0,5.0,1.0,5.0,5.0,
don't remember,3,,,3.0,3.0,3.0,1.0,5.0,1.0
don't remember exactly - i think fried rice and soup,1,,,1.0,5.0,1.0,5.0,5.0,
dough balls,1,,,1.0,5.0,1.0,5.0,,
each type of fajita and the chicken quesadillas,1,1.0,1.0,1.0,5.0,1.0,5.0,,5.0
"egg fried rice with chicken, wok-fried noodles with chicken, spicy beef brisket pho noodle soup, spicy chicken pho noodle soup, prawn crackera",1,1.0,5.0,1.0,5.0,1.0,1.0,5.0,
"egg fried rice, chicken rice bowl, noodles",1,,,1.0,5.0,1.0,5.0,,
"egg fried rice, vegetable pho and a curry",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
egg fried rice/ chicken pho/ chicken salad and pork rice bowl,1,,,1.0,5.0,1.0,5.0,5.0,5.0
