response_id,source_file,dish_text_raw,mapped_dish_type,mapping_method,is_family_survey,child_reaction_values,is_full_and_happy,included_in_denominator
344,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Teriyaki, Katsu, Sweetcorn fritters",Rice Bowl,anna_map,False,,0,0
346,POST_ORDER_SURVEY-CONSOLIDATED.csv,2 pizzas plus 2 sides,Pizza,anna_map,True,They ate all parts of the dish and were full and happy,1,1
281,POST_ORDER_SURVEY-CONSOLIDATED.csv,Ruby curry,South Asian / Indian Curry,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
294,POST_ORDER_SURVEY-CONSOLIDATED.csv,X2 soup x2 rice,Pho,anna_map,True,"They ate some parts of the dish, but were full and happy",1,1
305,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
347,POST_ORDER_SURVEY-CONSOLIDATED.csv,Fajitas,Fajitas,anna_map,True,They ate all parts of the dish and were full and happy,1,1
348,POST_ORDER_SURVEY-CONSOLIDATED.csv,A lot! I can't remember,Katsu,anna_map,True,"They ate some parts of the dish, but not as much as I wanted",0,1
349,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Beef pho, chicken pho, chicken noodles",Pho,anna_map,False,,0,0
352,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken,Grain Bowl,anna_map,True,They didn't try any of it,0,1
354,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
353,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken Ruby,South Asian / Indian Curry,anna_map,True,"They ate some parts of the dish, but were full and happy",1,1
355,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,True,,0,0
