brand,item,cuisine,high_level_dish,granular_dish,protein
Tadka House,1000g Chicken Tikka Masala 2 Boiled Rice 1 Chips 1  Plain Naan & Poppadoms,Indian,South Asian / Indian Curry,Tikka Masala Curry,Chicken
Tadka House,1000g Butter Chicken 2 Rice 1 Chips 1 Naan & Poopadoms,Indian,South Asian / Indian Curry,Butter Chicken Curry,Chicken
Tiffin Tin,Family Royal Forest Curry,Indian,South Asian / Indian Curry,Other Curry,Chicken Mushroom
Tiffin Tin,Family Chicken Aloo Mutter,Indian,South Asian / Indian Curry,Aloo Mutter Curry,Chicken
Tiffin Tin,Family Mixed Vegetable Curry,Indian,South Asian / Indian Curry,Other Curry,Vegetarian
Itsu,sushi family feast,Asian,Sushi,Sushi,Salmon
Tula Ireland,Tula Main Quesadilla Kids Quesadilla Bag of Corn Tortilla Chips & Dip,Mexican,Tacos,Tacos,Beef Pork Chicken
Tula Ireland,Tula Main Tula Nachos & Kids Quesadilla Family Dinneroo Feast,Mexican,Tacos,Tacos,Beef Pork Chicken
Zambrero UK,Family Tacos Kit,Mexican,Tacos,Tacos,Beef Chicken



