region,cuisine,order_count,order_share,national_share,index_vs_national,regional_strength
London,Shopping,718,0.33,0.24,140.9,Strong
London,Brunch,693,0.32,0.23,141.4,Strong
London,Family Favourites,623,0.29,0.24,121.2,Strong
London,Coffee,570,0.26,0.44,59.3,Weak
London,Meal Deals,560,0.26,0.44,59.4,Weak
London,Nachos,562,0.26,0.44,58.7,Weak
London,Noodles,504,0.23,0.27,85.1,Moderate
London,Poke,492,0.23,0.14,160.3,Strong
London,Vegan,474,0.22,0.11,194.9,Strong
London,Milkshakes,426,0.2,0.19,103.1,Moderate
London,Only On Deliveroo,439,0.2,0.15,136.3,Strong
London,New To Deliveroo,421,0.19,0.24,82.3,Moderate
London,Acai,384,0.18,0.08,236.5,Strong
London,Easter Groceries,387,0.18,0.06,296.8,Strong
London,Hot Dogs,393,0.18,0.09,200.1,Strong
London,Cantonese,372,0.17,0.12,144.7,Strong
London,Asian Fusion,337,0.16,0.11,140.3,Strong
London,International,338,0.16,0.07,210.3,Strong
London,Specialist Stores,341,0.16,0.06,242.7,Strong
London,Grill,310,0.14,0.16,91.3,Moderate
London,Ice Cream,303,0.14,0.09,148.2,Strong
London,The Feed,307,0.14,0.05,296.8,Strong
London,Steak,285,0.13,0.07,186.3,Strong
London,Dim Sum,265,0.12,0.06,190.5,Strong
London,French,241,0.11,0.06,175.3,Strong
London,Waffles,238,0.11,0.2,54.5,Weak
London,Featured Restaurants,217,0.1,0.23,44.5,Weak
London,African,200,0.09,0.11,86.3,Moderate
London,Christmas Specials,185,0.09,0.06,139.4,Strong
London,Dumplings,198,0.09,0.05,202.0,Strong
London,Great For Lunch,189,0.09,0.05,170.0,Strong
London,Hawaiian,194,0.09,0.04,214.1,Strong
London,Midautumn2025,193,0.09,0.03,296.8,Strong
London,Persian,186,0.09,0.04,220.0,Strong
London,Russian,189,0.09,0.04,220.9,Strong
London,Wraps,197,0.09,0.14,64.3,Weak
London,Bbq,175,0.08,0.06,127.6,Strong
London,Popular Restaurants,164,0.08,0.15,51.8,Weak
London,Restaurants In Your Area,173,0.08,0.05,164.1,Strong
London,Restaurants Only On Deliveroo,171,0.08,0.09,88.3,Moderate
London,Seafood,181,0.08,0.07,125.8,Strong
London,Singaporean,165,0.08,0.03,281.5,Strong
London,Veganuary,146,0.07,0.02,296.8,Strong
London,7Mar Off,127,0.06,0.04,131.8,Strong
