BRAND,ITEM_NAME,cuisine,dish_type,ITEM_DESCRIPTION
Banana Tree,🍜Pad Thai Bundle For Four🍜,Thai/Southeast Asian,Thai,"Four portions of our iconic Pad Thai – wok-fired noodles with your choice of Chicken, Tofu, Prawn, or a mix of Chicken & Prawn. Sweet, savoury, tangy and utterly slurpable. Our founders’ Mother’s recipe from over 30 years ago. Will feed four hungry eaters!"
Banana Tree,🍜Pad Thai Bundle For Four🍜,Thai/Southeast Asian,Thai,"Four portions of our iconic Pad Thai – wok-fired noodles with your choice of Chicken, Tofu, Prawn, or a mix of Chicken & Prawn. Sweet, savoury, tangy and utterly slurpable. Our founders’ Mother’s recipe from over 30 years ago. Will feed four hungry eaters!"
Banana Tree,🍜Pad Thai Bundle For Four🍜,Thai/Southeast Asian,Thai,"Four portions of our iconic Pad Thai – wok-fired noodles with your choice of Chicken, Tofu, Prawn, or a mix of Chicken & Prawn. Sweet, savoury, tangy and utterly slurpable. Our founders’ Mother’s recipe from over 30 years ago. Will feed four hungry eaters!"
Banana Tree,🍜Pad Thai Bundle For Four🍜,Thai/Southeast Asian,Thai,"Four portions of our iconic Pad Thai – wok-fired noodles with your choice of Chicken, Tofu, Prawn, or a mix of Chicken & Prawn. Sweet, savoury, tangy and utterly slurpable. Our founders’ Mother’s recipe from over 30 years ago. Will feed four hungry eaters!"
Banana Tree,🍜Pad Thai Bundle For Four🍜,Thai/Southeast Asian,Thai,"Four portions of our iconic Pad Thai – wok-fired noodles with your choice of Chicken, Tofu, Prawn, or a mix of Chicken & Prawn. Sweet, savoury, tangy and utterly slurpable. Our founders’ Mother’s recipe from over 30 years ago. Will feed four hungry eaters!"
Banana Tree,🍜Pad Thai Bundle For Four🍜,Thai/Southeast Asian,Thai,"Four portions of our iconic Pad Thai – wok-fired noodles with your choice of Chicken, Tofu, Prawn, or a mix of Chicken & Prawn. Sweet, savoury, tangy and utterly slurpable. Our founders’ Mother’s recipe from over 30 years ago. Will feed four hungry eaters!"
Banana Tree,🍜Pad Thai Bundle For Four🍜,Thai/Southeast Asian,Thai,"Four portions of our iconic Pad Thai – wok-fired noodles with your choice of Chicken, Tofu, Prawn, or a mix of Chicken & Prawn. Sweet, savoury, tangy and utterly slurpable. Our founders’ Mother’s recipe from over 30 years ago. Will feed four hungry eaters!"
Banana Tree,🍜Pad Thai Bundle For Four🍜,Thai/Southeast Asian,Thai,"Four portions of our iconic Pad Thai – wok-fired noodles with your choice of Chicken, Tofu, Prawn, or a mix of Chicken & Prawn. Sweet, savoury, tangy and utterly slurpable. Our founders’ Mother’s recipe from over 30 years ago. Will feed four hungry eaters!"
Banana Tree,🍜Pad Thai Bundle For Four🍜,Thai/Southeast Asian,Thai,"Four portions of our iconic Pad Thai – wok-fired noodles with your choice of Chicken, Tofu, Prawn, or a mix of Chicken & Prawn. Sweet, savoury, tangy and utterly slurpable. Our founders’ Mother’s recipe from over 30 years ago. Will feed four hungry eaters!"
Banana Tree,🍜Pad Thai Bundle For Four🍜,Thai/Southeast Asian,Thai,"Four portions of our iconic Pad Thai – wok-fired noodles with your choice of Chicken, Tofu, Prawn, or a mix of Chicken & Prawn. Sweet, savoury, tangy and utterly slurpable. Our founders’ Mother’s recipe from over 30 years ago. Will feed four hungry eaters!"
Banana Tree,🍜Pad Thai Bundle For Four🍜,Thai/Southeast Asian,Thai,"Four portions of our iconic Pad Thai – wok-fired noodles with your choice of Chicken, Tofu, Prawn, or a mix of Chicken & Prawn. Sweet, savoury, tangy and utterly slurpable. Our founders’ Mother’s recipe from over 30 years ago. Will feed four hungry eaters!"
Banana Tree,🍜Pad Thai Bundle For Four🍜,Thai/Southeast Asian,Thai,"Four portions of our iconic Pad Thai – wok-fired noodles with your choice of Chicken, Tofu, Prawn, or a mix of Chicken & Prawn. Sweet, savoury, tangy and utterly slurpable. Our founders’ Mother’s recipe from over 30 years ago. Will feed four hungry eaters!"
