cuisine,non_dinneroo_orders,unique_customers,avg_order_value,dinneroo_available,gap_signal,filter_applied,filter_rationale
Christmas Specials,10,10,38.93,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Accessorize,10,10,27.1,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Healthy options,9,5,28.62,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Gifting,9,9,76.1,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Moroccan,9,8,60.0,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Our picks,8,7,31.64,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Georgian,8,8,44.28,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Great for Gifting,8,6,50.73,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Doughnuts,8,8,15.47,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Egyptian,8,7,26.15,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Arabic,7,7,52.13,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Plus Offers July,7,6,34.69,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Indonesian,7,6,38.21,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Doner Kebab,7,7,21.82,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Crêpe,7,7,23.45,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Like Rosa's Thai? Why not try...,7,7,26.12,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Fries,6,3,27.18,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
North African,6,6,33.23,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Morrisons,6,5,26.38,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Editions Bristol,6,4,29.16,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Halloween rx 2022,6,6,29.28,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Coca-Cola Christmas NI,6,3,25.66,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Canadian,6,6,36.1,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Ramadan 2025,6,3,21.71,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
14 Days Free Delivery,6,6,16.42,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Fine Dining,6,4,33.38,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
"Big flavours, small prices",6,5,29.53,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Snacks,5,5,24.79,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Piadina,5,4,33.95,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
German Doner Kebab,5,3,22.75,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Poké,5,5,22.68,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Black Friday,5,5,23.52,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Festive grocery and shopping offers,5,4,26.19,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Belgian,5,4,25.15,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
North Indian,5,3,24.41,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Smoothie,4,4,16.52,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Syrian,4,4,31.46,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
magnum ice cream delivery,4,1,13.83,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
£7 off Promotion,4,4,29.05,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Household Goods,4,3,41.47,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Aug BH UK,4,4,28.14,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
On Demand Convenience (UAE),4,4,67.12,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Deliveroo Dinner Party,4,3,21.38,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Curated Plus Diamond Carousel,3,3,38.1,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Restaurant Award Winners 2024,3,2,33.31,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Hong Kongese,3,3,28.31,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Here to Deliver,3,2,26.34,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
